Title	Year	IMDB	RT Aud	RT Critics	Description
Jump In!	2007	5.3	61	50	No consensus yet.
Jumping the Broom	2011	5.6	59	55	Its heart is in the right place -- and so is its appealing cast -- but Jumping the Broom is ultimately too cliched and thinly written to recommend.
Just Another Girl on the I.R.T.	1993	6.1	85	40	No consensus yet.
Kevin & Perry Go Large	2000	5.3	71	0	No consensus yet.
Last Ounce of Courage	2012	4.3	70	0	No consensus yet.
Least Among Saints	2012	6.3	86	36	No consensus yet.
Leave it on the Floor	2013	6.1	68	75	No consensus yet.
Legends of Oz: Dorothy's Return	2014	5.8	69	16	Faced with the choice between staying in or seeing Legends of Oz: Dorothy's Return, most filmgoers will be forced to conclude that there's no place like home.
Letters To God	2010	6.1	74	25	No consensus yet.
Lift	2001	6.3	72	44	No consensus yet.
Lost For Words	2013	2.8	75	33	No consensus yet.
Madea Goes to Jail	2009	4.0	70	28	Divided between sincere melodrama and populist comedy, Madea Goes to Jail fails to provide enough laughs -- or screen time -- for its titular heroine.
Madea's Big Happy Family	2011	4.3	74	37	No consensus yet.
Madea's Family Reunion	2006	4.9	84	25	Tyler Perry's Madea's Family Reunion is sincere in its positive intentions, but leaves something to be desired as a film.
Madea's Witness Protection	2012	4.7	67	20	No consensus yet.
Mahogany	1975	6.0	78	23	No consensus yet.
Mariachi Gringo	2013	6.2	71	42	No consensus yet.
Martin Lawrence Live - Runteldat	2002	5.4	70	38	Lawrence's delivery can be funny, but the content is stale.
Meet The Browns	2008	3.9	70	31	Angela Bassett's considerable charms can't compensate for Meet the Browns' incessant melodrama and scattered narrative threads.
Mercy Streets	2000	5.6	63	12	No consensus yet.
Modern Girls	1986	5.7	66	40	No consensus yet.
Mobsters and Mormons	2005	6.2	76	75	No consensus yet.
Moms' Night Out	2014	5.4	67	18	Cheap-looking, unfunny, and kind of sexist to boot, Moms' Night Out is a disappointment from start to finish.
Moshi Monsters: The Movie	2013	3.2	63	66	No consensus yet.
My Brother	2006	5.6	65	30	No consensus yet.
My Heroes Have Always Been Cowboys	1991	6.3	85	33	No consensus yet.
My Uncle Rafael	2012	5.4	80	20	No consensus yet.
Newlyweeds	2013	5.7	72	68	No consensus yet.
Not Cool	2014	5.4	75	14	No consensus yet.
Not Today	2013	5.5	84	50	No consensus yet.
Now, Forager	2012	6.4	75	54	No consensus yet.
On the Edge	2001	5.1	80	62	No consensus yet.
On the Road With Judas	2006	5.3	64	60	No consensus yet.
One Direction: This Is Us	2013	4.0	80	62	It's mostly for the converted, but One Direction: This Is Us will be fun for fans -- and it offers just enough slickly edited concert footage to entertain the casual viewer.
One Night With the King	2006	6.3	78	19	Despite its epic source matierial, One Night With the King is held back by dull storytelling and a clumsy script.
Playback	2012	4.2	77	0	No consensus yet.
Pride	2007	5.7	72	44	Pride features a typically stellar performance from Terrence Howard, but ultimately falls victim to its over usage of sports movie clich s.
Pulling Strings	2013	6.0	72	58	No consensus yet.
Santa Buddies	2009	4.8	59	20	No consensus yet.
Sarafina!	1992	6.3	88	55	No consensus yet.
School Daze	1988	5.7	81	57	No consensus yet.
Second Hand Wedding	2008	6.1	71	50	No consensus yet.
Seven Days In Utopia	2011	6.1	68	14	No consensus yet.
Sex and the City	2008	5.4	77	49	Sex and the City loses steam in the transition to the big screen, but will still thrill fans of the show.
Shottas	2006	6.1	91	18	No consensus yet.
Somewhere Slow	2014	5.5	86	50	No consensus yet.
Son Of God	2014	5.5	73	20	The faithful may find their spirits raised, but on purely cinematic terms, Son of God is too dull and heavy-handed to spark much fervor.
Sparkle	2012	5.6	65	56	While undeniably melodramatic and old-fashioned, Sparkle transcends its formulaic trappings thanks to Salim Akil's empathetic direction and strong performances from a committed cast.
Sprung	1997	4.9	77	22	No consensus yet.
State's Evidence	2004	6.0	79	40	No consensus yet.
State Property	2002	4.1	73	0	No consensus yet.
State Property 2	2005	4.3	83	14	No consensus yet.
Step Up 2 the Streets	2008	6.2	76	27	There's a kinetic appeal to the handsome cast and their smooth moves, but everything else about Step Up 2 the Streets is been there, danced that.
Stomp the Yard	2007	5.2	81	25	While Stomp the Yard contains impressive musical and dance numbers, it loses its momentum during the intervening soap opera-style subplots.
Suddenly Naked	2001	6.0	63	50	No consensus yet.
$upercapitalist	2012	4.0	79	18	No consensus yet.
Swearnet: The Movie	2014	6.2	64	20	No consensus yet.
Ta Ra Rum Pum	2007	5.4	73	66	No consensus yet.
Talento de Barrio	2008	5.4	72	0	No consensus yet.
Temptation	2013	4.8	66	14	No consensus yet.
The Art of Love	1965	6.3	90	0	No consensus yet.
The Big Squeeze	1996	5.1	60	42	No consensus yet.
Love & Air Sex	2014	5.3	59	66	No consensus yet.
The Brothers	2001	6.3	85	62	Often seen as a Waiting to Exhale with men, The Brothers is amiable. However, it feels superficial and somewhat of a retread.
The Challenge	1982	6.3	72	60	No consensus yet.
The Christmas Candle	2013	5.6	76	18	No consensus yet.
The Family That Preys	2008	5.2	61	51	Tyler Perry's The Family that Preys treads the filmmaker's established terrain of family loyalty and moral uprightness, though the occasionally predictable plot slides forward, aided by an excess of soapy melodrama.
The Forbidden Dance	1990	3.3	78	23	No consensus yet.
The Fox and the Hound 2	2006	5.5	49	0	No consensus yet.
The Girl Is In Trouble	2015	5.3	50	57	No consensus yet.
The Grace Card	2011	6.4	81	34	Tailored for a very specific audience, The Grace Card delivers its noble religious message via implausible plot twists and preachy dialogue.
The Gospel	2005	4.3	74	32	While it features outstanding musical numbers, The Gospel reduces a series of worthy themes -- faith, family, forgiveness -- to soapy, banal clich s.
The Green Berets	1968	5.6	62	27	No consensus yet.
The Groundstar Conspiracy	1972	6.0	75	40	No consensus yet.
The Identical	2014	4.6	64	6	With nearly every element ringing as hollow as the ersatz Elvis at the story's core, The Identical looks destined for a bright future on the ironic viewing circuit.
The Land of College Prophets	2005	4.1	80	66	No consensus yet.
The Last Sin Eater	2007	5.9	72	18	This earnest Christian parable is undone by its pompous dialogue and cheap FX.
The Longshots	2008	5.0	61	40	The Longshots means well, but it's a largely formulaic affair, rarely deviating from the inspirational sports movie playbook.
The Lord of the Rings	1978	6.1	64	50	No consensus yet.
The Pill	2011	5.6	61	70	No consensus yet.
The Players Club	1998	5.5	86	31	No consensus yet.
The R.M.	2003	5.8	73	63	No consensus yet.
The Reckoning	2014	5.7	89	50	No consensus yet.
The Runner Stumbles	1979	5.9	100	44	No consensus yet.
The Scenesters	2011	6.0	73	42	No consensus yet.
The Single Moms Club	2014	4.9	59	16	The Single Moms' Club finds Tyler Perry avoiding some of the pitfalls of his earlier work, but continuing to rely on heavy-handed melodrama at the expense of sensible characters or absorbing storylines.
The Smurfs 2	2013	5.4	57	13	Like its predecessor, Smurfs 2 may amuse small children, but it's largely an unambitious, charm-free collection of slapstick gags and one-liners.
The Song	2014	5.9	85	28	No consensus yet.
The Ten Commandments	2007	2.8	53	14	No consensus yet.
The Twilight Saga: Breaking Dawn Part 2	2012	5.6	70	48	It's the most entertaining Twilight, but that's not enough to make Breaking Dawn Part 2 worth watching for filmgoers who don't already count themselves among the franchise converts.
The Twilight Saga: Eclipse	2010	4.9	60	48	Stuffed with characters and overly reliant on uninspired dialogue, Eclipse won't win The Twilight Saga many new converts, despite an improved blend of romance and action fantasy.
The Twilight Saga: New Moon	2009	4.6	61	27	The Twilight Saga's second installment may satisfy hardcore fans of the series, but outsiders are likely to be turned off by its slow pace, relentlessly downcast tone, and excessive length.
The Ultimate Life	2013	5.7	57	18	No consensus yet.
The Young Black Stallion	2003	5.6	68	45	No consensus yet.
Think Like a Man Too	2014	5.7	60	23	Think Like a Man Too reunites its predecessor's talented cast, but fails to take their characters in new or interesting directions.
Third World Cop	1999	6.2	88	15	No consensus yet.
This Christmas	2007	6.1	81	55	This Christmas features strong performances and a sharp portrayal of family dynamics, but relies too heavily on holiday movie clich?s.
Thunderstruck	2012	5.2	72	20	No consensus yet.
Time Changer	2002	5.6	74	22	No consensus yet.
Touching Home	2010	5.8	74	50	No consensus yet.
Trippin	1999	5.2	79	17	No consensus yet.
Venus and Mars	2001	6.2	67	0	No consensus yet.
Walter	2015	5.4	52	58	No consensus yet.
We the Party	2012	4.0	69	27	No consensus yet.
Which Way Is Up?	1977	6.4	85	20	No consensus yet.
Who Needs Enemies	2013	5.7	55	20	No consensus yet.
Why Did I Get Married?	2007	5.5	78	46	Despite some poignant observations on modern marriages, Why Did I Get Married? is too preachy and melodramatic.
The Battle of Pussy Willow Creek	2013	5.1	91	55	No consensus yet.
Woman Thou Art Loosed: On the 7th Day	2012	4.8	69	20	No consensus yet.
