Title	Year	IMDB	RT Aud	RT Critics	Description
Why Don't You Play in Hell?	2014	7.3	81	83	Deliriously manic and gleefully tasteless, Why Don't You Play in Hell? delivers infectious genre fun.
A Hard Day	2015	7.2	84	80	No consensus yet.
Laurence Anyways	2013	7.6	77	82	Passionate and powerfully acted, Laurence Anyways sometimes strains to achieve its narrative ambitions (and fill its three-hour running time), but ultimately succeeds.
Lone Survivor	2014	7.6	87	75	A true account of military courage and survival, Lone Survivor wields enough visceral power to mitigate its heavy-handed jingoism.
Milius	2013	7.5	96	94	No consensus yet.
Only Lovers Left Alive	2014	7.3	74	85	Worth watching for Tom Hiddleston and Tilda Swinton's performances alone, Only Lovers Left Alive finds writer-director Jim Jarmusch adding a typically offbeat entry to the vampire genre.
Out in the Dark	2013	7.6	80	75	No consensus yet.
The Place Beyond The Pines	2013	7.3	75	79	Ambitious to a fault, The Place Beyond the Pines finds writer/director Derek Cianfrance reaching for -- and often grasping -- thorny themes of family, fatherhood, and fate.
This Ain't California	2013	7.3	82	81	No consensus yet.
Art and Craft	2014	7.1	73	91	The spotlight it shines on an apparently troubled mind may strike some viewers as exploitative, but Art and Craft remains a thoroughly gripping glimpse into the life of a legendary art forger.
Girl Rising	2013	7.2	83	88	No consensus yet.
Harry Dean Stanton: Partly Fiction	2013	7.3	74	92	No consensus yet.
Iron Man 3	2013	7.3	79	78	With the help of its charismatic lead, some impressive action sequences, and even a few surprises, Iron Man 3 is a witty, entertaining adventure and a strong addition to the Marvel canon.
From Up On Poppy Hill	2013	7.4	79	83	Gentle and nostalgic, From Up on Poppy Hill is one of Studio Ghibli's sweeter efforts -- and if it doesn't push the boundaries of the genre, it remains as engagingly lovely as Ghibli fans have come to expect.
Sands of Iwo Jima	2014	7.2	80	100	No consensus yet.
Stolen Seas	2013	7.1	83	100	No consensus yet.
Despicable Me 2	2013	7.5	85	73	Despicable Me 2 offers plenty of eye-popping visual inventiveness and a number of big laughs.
A Story Of Children And Film	2014	7.1	80	94	No consensus yet.
About Time	2013	7.8	81	69	Beautifully filmed and unabashedly sincere, About Time finds director Richard Curtis at his most sentimental.
Deceptive Practice: The Mysteries and Mentors of Ricky Jay	2013	7.1	71	89	No consensus yet.
Monsters University	2013	7.4	82	78	Offering Monsters, Inc. fans a return visit with beloved characters, Monsters University delivers funny and thoughtful family entertainment for viewers of any age.
Our Vinyl Weighs A Ton: This Is Stones Throw Records	2014	7.5	80	100	No consensus yet.
The Book of Life	2014	7.3	78	82	The Book of Life's gorgeous animation is a treat, but it's a pity that its story lacks the same level of craft and detail that its thrilling visuals provide.
The Human Scale	2013	7.2	88	63	No consensus yet.
Antarctica: A Year on Ice	2014	7.5	82	84	No consensus yet.
Chef	2014	7.3	85	86	Chef's charming cast and sharp, funny script add enough spice to make this feel-good comedy a flavorful -- if familiar -- treat.
Human Capital	2015	7.4	76	79	Part character study, part socioeconomic fable, Human Capital offers trenchant commentary as well as absorbing drama.
Far from Men	2015	7.5	78	79	No consensus yet.
Marie's Story	2015	7.4	76	68	No consensus yet.
Testament Of Youth	2015	7.2	79	81	Testament of Youth is well-acted and beautifully filmed, adding up to an enriching if not adventurous experience for fans of British period dramas.
The Good Lie	2014	7.4	82	87	The Good Lie sacrifices real-life nuance in order to turn its true story into a Hollywood production, but the results still add up to a compelling, well-acted, and deeply moving drama.
22 Jump Street	2014	7.1	77	84	Boasting even more of the bromantic chemistry between its stars -- and even more of the goofy, good-natured humor that made its predecessor so much fun -- 22 Jump Street is the rare sequel that improves upon the original.
Advanced Style	2014	7.2	79	87	Colorful, witty, and uplifting, Advanced Style celebrates life and pays tribute to those who flout convention.
Big Star: Nothing Can Hurt Me	2013	7.1	81	91	No consensus yet.
John Wick	2014	7.2	80	85	Stylish, thrilling, and giddily kinetic, John Wick serves as a satisfying return to action for Keanu Reeves -- and what looks like it could be the first of a franchise.
Nicky's Family	2013	7.7	88	61	No consensus yet.
Pawn Sacrifice	2015	8.0	96	88	No consensus yet.
Side Effects	2013	7.1	70	82	A smart, clever thriller with plenty of disquieting twists, Side Effects is yet another assured effort from director Steven Soderbergh.
St. Vincent	2014	7.3	79	76	St. Vincent offers the considerable pleasure of seeing Bill Murray back in funny form, but drifts into dangerously sentimental territory along the way.
Predestination	2015	7.4	74	83	Fun genre fare with uncommon intelligence, Predestination serves as a better-than-average sci-fi adventure -- and offers a starmaking turn from Sarah Snook.
Banksy Does New York	2014	7.3	81	100	No consensus yet.
The Circle	2014	7.3	79	100	No consensus yet.
Kumiko, the Treasure Hunter	2015	7.2	63	87	Powerfully acted and lovely to look at, Kumiko, the Treasure Hunter offers a treat for cinephiles with a taste for the pleasantly peculiar.
Leave The World Behind	2014	7.9	85	71	No consensus yet.
Merchants Of Doubt	2015	7.1	74	84	Merchants of Doubt is a thought-provoking documentary assembled with energy and style, even if it doesn't dig as deep as it could.
Michael H. Profession: Director	2013	7.2	68	100	No consensus yet.
The Armstrong Lie	2013	7.2	75	83	Smartly constructed and scathingly sharp, The Armstrong Lie presents an effective indictment of its unscrupulous subject -- as well as the sports culture that spawned him.
The Bitter Buddha	2013	7.1	78	93	No consensus yet.
The Drop	2014	7.1	76	89	There's no shortage of similarly themed crime dramas, but The Drop rises above the pack with a smartly written script and strong cast.
The Kings of Summer	2013	7.2	77	75	Thanks to charming performances and endearingly off-kilter spirit, The Kings of Summer proves to be a slight, sweet entry in the crowded coming-of-age genre.
The Stone Roses: Made of Stone	2013	7.2	76	73	No consensus yet.
A Bottle in the Gaza Sea	2013	7.2	70	69	No consensus yet.
Harmontown	2014	7.4	83	76	No consensus yet.
Himizu	2013	7.2	74	93	No consensus yet.
Infinitely Polar Bear	2015	7.3	77	80	Infinitely Polar Bear handles its thorny themes with a somewhat troublesomely light touch, but Mark Ruffalo's complex performance keeps the drama solidly grounded.
Rudderless	2014	7.5	83	62	Rudderless asks its cast to carry an awful lot of weight for its occasionally manipulative story; fortunately, this talented bunch -- led by Billy Crudup -- is often more than up to the task.
Spinning Plates	2013	7.2	84	84	No consensus yet.
TV Junkie	2013	7.3	68	83	No consensus yet.
The Croods	2013	7.3	78	70	While it may not be as (ahem) evolved as the best modern animated fare, The Croods will prove solidly entertaining for families seeking a fast-paced, funny cartoon adventure.
The One I Love	2014	7.1	77	80	The One I Love doesn't take its intriguing premise quite as far as it could, but it still adds up to an ambitious, well-acted look at love and marriage.
The Short Game	2013	7.5	87	83	No consensus yet.
Z For Zachariah	2015	7.3	66	79	Z for Zachariah wrings compelling drama out of its simplistic premise -- albeit at a pace that may test the patience of less contemplative viewers.
The Iran Job	2013	7.1	76	88	No consensus yet.
Danny Collins	2015	7.5	75	77	Thanks to Al Pacino's stirring central performance - and excellent work from an esteemed supporting cast -- Danny Collins manages to overcome its more predictable and heavy-handed moments to deliver a heartfelt tale of redemption.
Generation Iron	2013	7.2	78	80	No consensus yet.
Good Ol' Freda	2013	7.2	77	84	No consensus yet.
Lilting	2014	7.1	81	81	Skillfully weaving multiple delicate tonal strands into a quietly affecting whole, Lilting serves as a thoroughly compelling calling card for writer-director Hong Khaou.
Metallica Through the Never	2013	7.3	74	78	Imaginatively shot and edited, Metallica Through the Never is an electrifying, immersive concert film, though its fictional sequences are slightly less assured.
A Letter to Momo	2014	7.3	77	79	Sweet, sad, and visually striking, A Letter to Momo is a hand-drawn experience for animation fans to savor.
Richard Pryor: Omit The Logic	2013	7.3	73	80	No consensus yet.
Fast & Furious 6	2013	7.2	84	69	With high-octane humor and terrific action scenes, Fast & Furious 6 builds upon the winning blockbuster formula that made Fast 5 a critical and commercial success.
Hannah Arendt	2013	7.1	73	87	Led by a powerful performance from Barbara Sukowa, Hannah Arendt does a commendable job of dramatizing the life of a complex public figure.
Island Of Lemurs: Madagascar	2014	7.3	66	80	Brief enough for the youngest viewers yet informative and visually spectacular enough for all ages, Island of Lemurs: Madagascar is educational entertainment for the whole family.
Magical Universe	2014	7.6	75	62	No consensus yet.
Pulp: a Film About Life, Death & Supermarkets	2014	7.3	78	83	Witty, warm, and unconventional, Pulp makes up in overall entertainment what it lacks in depth.
Supermensch: The Legend of Shep Gordon	2014	7.2	85	77	Its unabashedly positive tone may strike some viewers as disingenuous, but even if Supermensch doesn't tell the whole story, it's an undeniably entertaining one.
Lee Daniels' The Butler	2013	7.1	78	71	Gut-wrenching and emotionally affecting, Lee Daniels' The Butler overcomes an uneven narrative thanks to strong performances from an all-star cast.
Weekend Of A Champion	2013	7.5	74	71	No consensus yet.
Bridegroom	2013	8.1	86	81	No consensus yet.
Hawking	2013	7.3	73	84	No consensus yet.
The Hundred-Foot Journey	2014	7.3	81	67	Director Lasse Hallstr m does lovely work and Helen Mirren is always worth watching, but The Hundred-Foot Journey travels predictable ground already covered by countless feel-good dramedies.
The Rise and Rise of Bitcoin	2014	7.3	88	62	No consensus yet.
Antoine et Antoinette	2013	7.5	100	75	No consensus yet.
August: Osage County	2013	7.3	66	64	The sheer amount of acting going on in August: Osage County threatens to overwhelm, but when the actors involved are as talented as Meryl Streep and Julia Roberts, it's difficult to complain.
The Story Of Luke	2013	7.3	78	80	No consensus yet.
Awake: The Life Of Yogananda	2014	7.6	81	66	No consensus yet.
Camp X-Ray	2014	7.2	66	72	Camp X-Ray's treatment of its subject verges on the shallow, but benefits greatly from a pair of impressive performances from Kristen Stewart and Peyman Moaadi.
Bettie Page Reveals All	2013	7.1	61	72	No consensus yet.
Pantani: The Accidental Death Of A Cyclist	2014	7.1	78	81	No consensus yet.
Thor: The Dark World	2013	7.1	78	66	It may not be the finest film to come from the Marvel Universe, but Thor: The Dark World still offers plenty of the humor and high-stakes action that fans have come to expect.
Broadway Idiot	2013	7.5	71	63	No consensus yet.
In Your Eyes	2014	7.2	68	62	No consensus yet.
Pandora's Promise	2013	7.3	70	63	No consensus yet.
Dinosaur 13	2014	7.1	74	71	It's undeniably slanted and doesn't cover as much of the story as it should, but Dinosaur 13 makes for gripping documentary viewing, flaws and all.
Miss Violence	2013	7.1	93	82	No consensus yet.
Money for Nothing: Inside the Federal Reserve	2013	7.2	78	65	No consensus yet.
Patema Inverted	2014	7.3	78	84	No consensus yet.
The Water Diviner	2015	7.4	62	62	The Water Diviner finds Russell Crowe on somewhat uncertain footing as a director, but he's rescued by a strong performance from himself in the leading role.
Linsanity	2013	7.4	77	62	No consensus yet.
Million Dollar Arm	2014	7.1	69	61	Pleasant to a fault, Million Dollar Arm is a middle-of-the-plate pitch that coasts on Jon Hamm's considerable charm without adding any truly original curves to Disney's inspirational sports formula.
The Equalizer	2014	7.2	77	61	The Equalizer is more stylishly violent than meaningful, but with Antoine Fuqua behind the cameras and Denzel Washington dispensing justice, it delivers.
Roman Polanski: A Film Memoir	2013	7.1	85	90	No consensus yet.
The Young And Prodigious T.S. Spivet	2015	7.1	72	78	No consensus yet.
High Tech, Low Life	2013	7.3	82	62	No consensus yet.
